Specimen,Famline,Diet,Infection,Sex,Redhue,Redsat,Redint,Melarea,Blkdens
17,1,N,U,F,16.4174,187.709,151.477,3.9160535,135.6845
18,1,N,U,F,18.1326,201.8336,153.5225,4.02972,133.0585
29,1,N,U,F,12.48815,225.8705,153.981,4.35138,119.165
30,1,N,U,M,15.7741,235.0245,164.755,3.22022,135.78
32,1,N,U,M,13.87435,235.8385,160.781,2.982355,141.6845
36,1,N,U,F,16.24105,231.213,149.4065,4.92125,139.937
41,1,N,U,M,16.54305,237.075,177.251,3.518315,137.818
44,1,N,U,M,17.93755,239.228,178.64,3.20251,134.2592
50,1,N,U,F,15.5797,223.067,149.7005,4.42889,130.4045
60,1,N,U,M,13.9257,239.3845,171.81,4.52765,142.5185
2,1,N,I,M,16.58465,238.872,169.0945,4.029265,130.269
65,1,N,I,M,17.66115,233.923,175.1805,2.845425,142.5185
7,1,N,I,M,17.5334,236.356,176.968,3.265375,143.731
10,1,N,I,M,13.81575,237.8955,165.015,3.73399,145.59
15,1,N,I,F,15.95755,211.3445,144.7145,3.73237,132.0895
22,1,N,I ,M,14.0655,235.4405,164.863,3.44002,136.3085
26,1,N,I,F,13.7444,218.968,141.3325,4.0903,125.9085
42,1,N,I,F,15.53115,212.7655,150.9365,3.76027,126.6869
48,1,N,I,M,19.5847,239.822,180.841,3.86314,140.9815
49,1,N,I,F,15.39695,225.246,151.683,4.654325,128.015
53,1,N,I,F,20.14515,225.093,163.753,4.336586,123.9931
56,1,N,I,F,16.0895,226.341,142.017,4.74225,124.7125
64,1,N,I,F,15.6584,227.0965,152.0205,5.169435,125.6602
4,1,N,I,M,13.50165,234.259,160.9665,3.86821,149.4565
80,1,T,I,M,17.00295,242.4055,182.198,4.349585,154.9985
86,1,T,I,M,12.5142,232.622,153.982,3.376875,133.893
96,1,T,I,F,16.3178,229.552,152.9335,5.656405,124.0964
100,1,T,I,M,13.51135,241.901,175.563,3.9739,150.0265
103,1,T,I,F,17.09045,235.969,166.1525,4.25826,124.3695
125,1,T,I,M,17.0061,246.0495,192.643,4.287525,155.0685
128,1,T,I,M,16.51175,237.318,181.535,4.17588,157.9435
133,1,T,I,M,18.4869,242.3995,179.1435,4.598855,143.5455
78,1,T,U,F,16.5211,230.309,157.1595,5.262375,133.6
89,1,T,U,M,17.563,239.235,172.957,3.85369,144.494
91,1,T,U,F,13.46775,223.4645,140.259,4.093425,133.643
94,1,T,U,M,14.0737,239.5855,167.1495,3.665235,143.5585
98,1,T,U,F,12.511,222.851,138.994,5.088045,135.011
102,1,T,U,M,14.84025,239.01,166.4815,3.64973,150.4925
107,1,T,U,F,11.9941,224.596,137.117,4.778865,127.8935
112,1,T,U,F,14.8528,230.419,165.096,4.487335,125.84675
115,1,T,U,M,16.2731,245.149,184.443,4.443405,147.6885
118,1,T,U,F,15.70445,225.7345,148.942,4.81673,137.4285
124,1,T,U,M,18.1359,241.3425,180.9555,4.08538,152.5595
131,1,T,U,F,17.73645,228.813,151.746,5.29219,127.511
135,1,T,U,F,15.1168,224.8105,154.0495,4.662835,136.419
65,1,N,I,M,17.7319,234.4195,177.2875,2.93329,142.703
51,1,N,U,F,15.4352,231.567,154.867,4.544295,126.661
71,1,T,U,F,,,,,
