specimen,diet,sex,infection,wing,area,length,breadth,roundness,asp.ratio
100,T,M,I,LFW,7.3913,4.906178,2.412259,0.390971,2.033853
100,T,M,I,LHW,7.152802,3.390059,2.871986,0.79245,1.180388
100,T,M,I,RFW,7.265125,4.712757,2.387404,0.416489,1.974009
100,T,M,I,RHW,7.043349,3.359788,2.891705,0.794448,1.161871
102,T,M,U,LFW,6.288229,4.55136,2.181571,0.386506,2.086276
102,T,M,U,LHW,5.97922,3.146984,2.636009,0.768715,1.193844
102,T,M,U,RFW,6.258575,4.412909,2.201735,0.4092,2.004287
102,T,M,U,RHW,5.970275,3.131345,2.612317,0.775251,1.198685
103,T,F,I,LFW,6.981625,4.506041,2.350924,0.437801,1.91671
103,T,F,I,LHW,6.627717,3.276498,2.729613,0.786057,1.200352
103,T,F,I,RFW,6.846909,4.443089,2.325439,0.441606,1.910645
103,T,F,I,RHW,6.51805,3.24442,2.783546,0.788413,1.16557
107,T,F,U,LFW,7.586813,4.958982,2.413361,0.392812,2.054804
107,T,F,U,LHW,7.269775,3.476085,2.893458,0.766038,1.20136
107,T,F,U,RFW,7.529618,4.848757,2.397326,0.407777,2.022569
107,T,F,U,RHW,7.238501,3.450713,2.9123,0.774,1.184875
10,N,M,I,LFW,6.606353,4.567132,2.255193,0.40326,2.025163
10,N,M,I,LHW,6.400705,3.296165,2.706019,0.750102,1.218086
10,N,M,I,RFW,6.709424,4.579218,2.271902,0.407392,2.015588
10,N,M,I,RHW,6.527073,3.279516,2.755223,0.772697,1.190291
112,T,F,U,LFW,6.488554,4.557077,2.217801,0.397819,2.054773
112,T,F,U,LHW,5.942311,3.130978,2.617675,0.771801,1.196091
112,T,F,U,RFW,6.451785,4.38849,2.217376,0.42654,1.979136
112,T,F,U,RHW,5.876664,3.113691,2.588411,0.771774,1.202935
115,T,M,U,LFW,7.962245,5.027803,2.469262,0.401041,2.036157
115,T,M,U,LHW,7.789251,3.593756,2.982284,0.767907,1.205035
115,T,M,U,RFW,7.826864,4.923953,2.429864,0.411027,2.026432
115,T,M,U,RHW,7.801366,3.62065,2.979789,0.757718,1.215069
118,T,F,U,LFW,7.036979,4.824657,2.344714,0.384914,2.057674
118,T,F,U,LHW,6.998309,3.365155,2.867181,0.786852,1.173681
118,T,F,U,RFW,7.045643,4.680646,2.336805,0.409467,2.003011
118,T,F,U,RHW,7.002535,3.388224,2.853551,0.776643,1.187371
124,T,M,U,LFW,7.469958,4.923717,2.410087,0.392321,2.042963
124,T,M,U,LHW,7.039374,3.432362,2.836579,0.760778,1.210036
124,T,M,U,RFW,7.35754,4.801174,2.408105,0.406395,1.993756
124,T,M,U,RHW,7.095231,3.434851,2.845444,0.765704,1.207141
125,T,M,I,LFW,8.635109,5.199703,2.623126,0.40665,1.982255
125,T,M,I,LHW,8.429985,3.675138,3.139199,0.794675,1.170725
125,T,M,I,RFW,8.558242,5.168714,2.622968,0.407877,1.970559
125,T,M,I,RHW,8.415559,3.691271,3.13135,0.786396,1.178811
128,T,M,I,LFW,7.84088,4.988268,2.437493,0.401213,2.046474
128,T,M,I,LHW,7.621258,3.530972,2.988533,0.778302,1.181507
128,T,M,I,RFW,7.870953,4.980538,2.447244,0.404003,2.035162
128,T,M,I,RHW,7.673651,3.565042,2.974395,0.768746,1.198577
131,T,F,U,LFW,7.714235,4.859455,2.525317,0.415937,1.924295
131,T,F,U,LHW,7.375219,3.434464,2.94587,0.796099,1.165857
131,T,F,U,RFW,7.729238,4.862198,2.504013,0.416276,1.941763
131,T,F,U,RHW,7.389448,3.432085,2.984459,0.798741,1.149986
133,T,M,I,LFW,8.657861,5.269234,2.60515,0.397032,2.022622
133,T,M,I,LHW,8.341634,3.667213,3.148631,0.789749,1.164701
133,T,M,I,RFW,8.466373,5.163728,2.562775,0.404279,2.014897
133,T,M,I,RHW,8.209931,3.676856,3.117484,0.773208,1.17943
135,T,F,U,LFW,6.96795,4.703424,2.306495,0.401039,2.039208
135,T,F,U,LHW,6.821018,3.400593,2.782721,0.751018,1.222039
135,T,F,U,RFW,6.925265,4.691434,2.315492,0.400623,2.026107
135,T,F,U,RHW,6.72952,3.381167,2.761231,0.749481,1.224514
15,N,F,I,LFW,5.717145,4.183943,2.1099,0.415832,1.983005
15,N,F,I,LHW,5.3913,2.986038,2.49251,0.769862,1.198005
15,N,F,I,RFW,5.928011,4.22494,2.153072,0.422842,1.962285
15,N,F,I,RHW,5.556663,3.041436,2.55524,0.764833,1.190274
17,N,F,U,LFW,5.745839,4.364937,1.963526,0.383979,2.223009
17,N,F,U,LHW,5.3868,3.073137,2.316582,0.726235,1.326582
17,N,F,U,RFW,6.001578,4.300192,2.156095,0.413238,1.994435
17,N,F,U,RHW,5.762841,3.118345,2.568522,0.754568,1.214062
18,N,F,U,LFW,6.205236,4.416712,2.185896,0.405014,2.02055
18,N,F,U,LHW,5.747345,3.109639,2.55341,0.756759,1.217838
18,N,F,U,RFW,5.183644,4.026387,2.083183,0.407112,1.932805
18,N,F,U,RHW,5.624677,3.062441,2.574263,0.763611,1.189638
26,N,F,I,LFW,6.141246,4.371052,2.20577,0.409256,1.981645
26,N,F,I,LHW,5.683125,3.064301,2.571217,0.77061,1.191771
26,N,F,I,RFW,6.121294,4.316858,2.202238,0.418233,1.960214
26,N,F,I,RHW,5.724107,3.088215,2.549056,0.764193,1.211513
29,N,F,U,LFW,6.645624,4.462741,2.311878,0.424857,1.930353
29,N,F,U,LHW,6.449569,3.222244,2.749238,0.790904,1.17205
29,N,F,U,RFW,6.642109,4.527568,2.301336,0.412559,1.967365
29,N,F,U,RHW,6.49218,3.243663,2.759942,0.78565,1.175265
2,N,M,I,LFW,7.137945,4.778264,2.344975,0.398055,2.037661
2,N,M,I,LHW,6.817366,3.369159,2.811345,0.764687,1.198416
2,N,M,I,RFW,6.964419,4.636238,2.338215,0.412538,1.982811
